title,genre,link
Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",https://myanimelist.net/anime/322/Paradise_Kiss
Manga de Wakaru! Fate/Grand Order,['Comedy'],https://myanimelist.net/anime/38958/Manga_de_Wakaru_Fate_Grand_Order
Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",https://myanimelist.net/anime/4472/Lucky%E2%98%86Star__Original_na_Visual_to_Animation
Last Exile,"['Action', 'Sci-Fi', 'Adventure']",https://myanimelist.net/anime/97/Last_Exile
Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",https://myanimelist.net/anime/468/Koukaku_Kidoutai_2__Innocence
Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']",https://myanimelist.net/anime/7645/Heartcatch_Precure
Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']",https://myanimelist.net/anime/3604/Hidamari_Sketch_x_365
Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']",https://myanimelist.net/anime/1491/Ginga_Tetsudou_999
Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']",https://myanimelist.net/anime/19319/Gundam_Build_Fighters
Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",https://myanimelist.net/anime/1571/Ghost_Hunt
Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']",https://myanimelist.net/anime/35222/Gakuen_Babysitters
Detective Conan Movie 23: The Fist of Blue Sapphire,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",https://myanimelist.net/anime/38770/Detective_Conan_Movie_23__The_Fist_of_Blue_Sapphire
Bleach,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",https://myanimelist.net/anime/269/Bleach
Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime
91 Days,"['Action', 'Drama', 'Historical']",https://myanimelist.net/anime/32998/91_Days
Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",https://myanimelist.net/anime/202/Wolfs_Rain
Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']",https://myanimelist.net/anime/5005/Tentai_Senshi_Sunred
Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA
Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']",https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']",https://myanimelist.net/anime/33263/Kubikiri_Cycle__Aoiro_Savant_to_Zaregototsukai
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']",https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo
Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']",https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",https://myanimelist.net/anime/3092/Junjou_Romantica
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']",https://myanimelist.net/anime/38084/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia
Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']",https://myanimelist.net/anime/37033/Emiya-san_Chi_no_Kyou_no_Gohan
Charlotte,"['Drama', 'School', 'Super Power']",https://myanimelist.net/anime/28999/Charlotte
Capeta,"['Cars', 'Shounen', 'Sports']",https://myanimelist.net/anime/388/Capeta
Break Blade 5: Shisen no Hate,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",https://myanimelist.net/anime/9724/Break_Blade_5__Shisen_no_Hate
Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']",https://myanimelist.net/anime/37985/Aggressive_Retsuko_ONA_2nd_Season
Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']",https://myanimelist.net/anime/38435/Yao_Shen_Ji_3rd_Season
Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']",https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
